region,price,year,manufacturer,Domestic,condition,cylinders,fuel,odometer,transmission,drive,size,type,paint_color
treasure coast,5999,2011,toyota,0,good,4 cylinders,hybrid,141500,automatic,fwd,compact,hatchback,white
treasure coast,3000,1997,ford,1,fair,8 cylinders,gas,280000,automatic,4wd,full-size,pickup,blue
treasure coast,34900,2015,chevrolet,1,excellent,8 cylinders,gas,94990,automatic,4wd,full-size,truck,white
treasure coast,7700,2010,honda,0,like new,4 cylinders,gas,134672,automatic,fwd,mid-size,sedan,grey
treasure coast,6500,2006,honda,0,good,4 cylinders,gas,176333,automatic,fwd,full-size,sedan,blue
treasure coast,3500,2008,nissan,0,good,4 cylinders,gas,192107,automatic,fwd,compact,sedan,grey
treasure coast,3995,2005,ford,1,excellent,6 cylinders,gas,122000,automatic,fwd,full-size,sedan,silver
treasure coast,2495,2003,saturn,1,good,4 cylinders,gas,135145,manual,fwd,compact,sedan,silver
treasure coast,3995,2005,buick,1,excellent,6 cylinders,gas,138018,automatic,rwd,full-size,sedan,silver
treasure coast,2195,1996,toyota,0,good,4 cylinders,gas,221000,automatic,fwd,full-size,sedan,white
treasure coast,2995,2002,chrysler,1,excellent,4 cylinders,gas,88000,automatic,fwd,mid-size,sedan,silver
treasure coast,3700,2006,hyundai,0,good,6 cylinders,gas,118000,automatic,fwd,mid-size,sedan,blue
treasure coast,14000,2012,bmw,0,excellent,4 cylinders,gas,83350,automatic,rwd,full-size,sedan,black
treasure coast,5995,2010,toyota,0,like new,4 cylinders,gas,149904,automatic,fwd,compact,sedan,black
treasure coast,18800,2012,ford,1,excellent,8 cylinders,diesel,266538,automatic,4wd,full-size,truck,white
treasure coast,19600,2016,infiniti,0,like new,4 cylinders,gas,73000,automatic,fwd,full-size,sedan,white
treasure coast,6999,2010,toyota,0,like new,4 cylinders,gas,168984,automatic,fwd,full-size,mini-van,white
treasure coast,3500,2001,honda,0,good,4 cylinders,gas,125805,automatic,fwd,compact,coupe,red
treasure coast,7800,2006,jeep,1,excellent,6 cylinders,gas,75000,automatic,rwd,full-size,SUV,white
treasure coast,10000,2002,ford,1,excellent,8 cylinders,diesel,286000,automatic,4wd,full-size,truck,white
daytona beach,7995,2005,chevrolet,1,excellent,6 cylinders,gas,115194,automatic,rwd,full-size,sedan,grey
daytona beach,37999,2011,ford,1,excellent,8 cylinders,diesel,69123,automatic,4wd,full-size,truck,black
daytona beach,7495,2005,chevrolet,1,excellent,4 cylinders,gas,86181,automatic,rwd,sub-compact,sedan,silver
daytona beach,7999,2012,dodge,1,excellent,6 cylinders,gas,98653,automatic,fwd,mid-size,mini-van,white
daytona beach,8999,2011,mazda,0,good,4 cylinders,gas,80680,automatic,fwd,mid-size,SUV,black
