region,price,year,manufacturer,Domestic,condition,cylinders,fuel,odometer,transmission,drive,size,type,paint_color
tampa bay area,1400,2000,lincoln,1,fair,8 cylinders,gas,271000,automatic,4wd,full-size,SUV,silver
tampa bay area,1350,1999,chrysler,1,excellent,6 cylinders,gas,127000,automatic,fwd,full-size,mini-van,white
tampa bay area,5900,2015,mitsubishi,0,good,3 cylinders,gas,97327,automatic,fwd,compact,hatchback,white
tampa bay area,6500,2008,nissan,0,excellent,6 cylinders,gas,119000,automatic,rwd,full-size,coupe,silver
tampa bay area,6000,2002,mazda,0,good,4 cylinders,gas,127000,automatic,rwd,compact,convertible,yellow
tampa bay area,22990,2015,mercedes-benz,0,excellent,4 cylinders,diesel,96506,automatic,rwd,full-size,wagon,white
tampa bay area,15000,2005,toyota,0,excellent,6 cylinders,gas,90955,manual,rwd,mid-size,truck,black
tampa bay area,7300,2008,honda,0,good,4 cylinders,gas,120000,automatic,fwd,full-size,SUV,blue
tampa bay area,4500,2006,mercedes-benz,0,excellent,6 cylinders,gas,107773,automatic,rwd,full-size,sedan,blue
tampa bay area,1900,2005,nissan,0,good,4 cylinders,gas,181000,automatic,fwd,compact,sedan,black
tampa bay area,4950,2011,dodge,1,like new,6 cylinders,gas,138539,automatic,fwd,mid-size,mini-van,white
tampa bay area,1000,2002,buick,1,salvage,6 cylinders,gas,180000,automatic,4wd,full-size,SUV,brown
tampa bay area,22000,2016,bmw,0,excellent,4 cylinders,gas,25800,automatic,4wd,mid-size,sedan,black
tampa bay area,19768,2018,dodge,1,like new,6 cylinders,gas,53421,automatic,rwd,full-size,sedan,grey
tampa bay area,5800,2008,gmc,1,excellent,6 cylinders,gas,145000,automatic,4wd,mid-size,SUV,purple
tampa bay area,49990,2018,ford,1,excellent,8 cylinders,diesel,40657,automatic,4wd,full-size,pickup,white
tampa bay area,26995,2016,dodge,1,like new,8 cylinders,gas,46439,automatic,rwd,full-size,coupe,black
tampa bay area,6000,2004,chevrolet,1,good,6 cylinders,gas,117785,automatic,4wd,mid-size,SUV,white
tampa bay area,15990,2016,kia,0,excellent,6 cylinders,gas,66933,automatic,fwd,full-size,sedan,white
tampa bay area,13990,2013,kia,0,excellent,4 cylinders,gas,41696,automatic,4wd,full-size,SUV,silver
tampa bay area,55246,2016,dodge,1,like new,8 cylinders,gas,7962,automatic,rwd,full-size,coupe,custom
tampa bay area,13590,2012,buick,1,like new,6 cylinders,gas,49764,automatic,fwd,mid-size,sedan,silver
tampa bay area,2598,2007,pontiac,1,excellent,4 cylinders,gas,159467,automatic,rwd,mid-size,coupe,blue
tampa bay area,4900,2004,nissan,0,excellent,8 cylinders,gas,153000,automatic,4wd,full-size,SUV,blue
tampa bay area,3500,2006,honda,0,good,4 cylinders,gas,230000,automatic,4wd,full-size,SUV,black
tampa bay area,13400,2018,ford,1,like new,4 cylinders,gas,16300,automatic,fwd,full-size,SUV,silver
tampa bay area,36900,2017,ram,1,like new,8 cylinders,gas,40350,automatic,4wd,full-size,truck,grey
tampa bay area,15990,2016,toyota,0,excellent,4 cylinders,gas,91040,automatic,fwd,full-size,SUV,grey
tampa bay area,18990,2013,lexus,0,excellent,6 cylinders,gas,108684,automatic,4wd,full-size,sedan,grey
tampa bay area,10995,2016,kia,0,like new,4 cylinders,gas,26361,automatic,fwd,compact,sedan,grey
tampa bay area,7295,2013,volkswagen,0,excellent,4 cylinders,diesel,105250,automatic,fwd,mid-size,sedan,silver
tampa bay area,14495,2018,chevrolet,1,like new,4 cylinders,gas,46950,automatic,fwd,mid-size,SUV,red
tampa bay area,12295,2014,kia,0,excellent,6 cylinders,gas,89890,automatic,fwd,mid-size,SUV,white
tampa bay area,4800,2010,toyota,0,good,4 cylinders,hybrid,208000,automatic,rwd,compact,hatchback,white
tampa bay area,8799,1999,mazda,0,excellent,4 cylinders,gas,61500,manual,rwd,sub-compact,convertible,black
tampa bay area,25000,2016,jeep,1,excellent,6 cylinders,gas,14500,manual,4wd,full-size,other,green
tampa bay area,18250,2015,cadillac,1,good,6 cylinders,gas,64291,automatic,fwd,compact,SUV,black
tampa bay area,4000,2005,honda,0,excellent,6 cylinders,gas,169085,automatic,fwd,mid-size,sedan,grey
tampa bay area,1700,2005,dodge,1,good,4 cylinders,gas,155220,automatic,fwd,compact,sedan,red
tampa bay area,1500,2003,hyundai,0,good,4 cylinders,gas,171000,automatic,fwd,compact,sedan,yellow
tampa bay area,2500,1999,buick,1,good,6 cylinders,gas,81000,automatic,fwd,full-size,sedan,brown
tampa bay area,6495,2006,toyota,0,good,4 cylinders,gas,135500,automatic,fwd,mid-size,sedan,brown
tampa bay area,1350,1999,chrysler,1,excellent,6 cylinders,gas,127000,automatic,fwd,full-size,mini-van,white
tampa bay area,3700,2009,honda,0,excellent,4 cylinders,gas,175000,manual,fwd,mid-size,sedan,blue
tampa bay area,57650,2019,gmc,1,like new,8 cylinders,gas,22590,automatic,4wd,full-size,pickup,blue
tampa bay area,23999,2014,toyota,0,excellent,6 cylinders,gas,41000,automatic,fwd,full-size,truck,white
tampa bay area,19900,2015,ford,1,like new,6 cylinders,gas,8403,automatic,rwd,full-size,coupe,custom
tampa bay area,1399,2000,cadillac,1,good,8 cylinders,gas,127609,automatic,rwd,full-size,sedan,silver
tampa bay area,28990,2017,lexus,0,excellent,4 cylinders,gas,35339,automatic,fwd,full-size,SUV,white
tampa bay area,11900,2000,ford,1,excellent,6 cylinders,gas,134390,manual,rwd,full-size,pickup,red
tampa bay area,1699,2005,ford,1,good,4 cylinders,gas,194940,automatic,fwd,compact,hatchback,silver
tampa bay area,6900,2010,dodge,1,like new,6 cylinders,gas,108529,automatic,fwd,full-size,SUV,silver
tampa bay area,6499,2016,nissan,0,excellent,4 cylinders,gas,145473,automatic,fwd,full-size,sedan,blue
tampa bay area,12000,1987,chevrolet,1,like new,8 cylinders,gas,30000,automatic,rwd,mid-size,coupe,red
tampa bay area,10500,2008,chevrolet,1,excellent,8 cylinders,gas,115000,automatic,rwd,compact,SUV,blue
tampa bay area,26500,2011,ford,1,excellent,8 cylinders,diesel,206354,automatic,4wd,full-size,truck,white
tampa bay area,26500,2011,ford,1,excellent,8 cylinders,diesel,206354,automatic,4wd,full-size,truck,white
tampa bay area,33900,2015,chevrolet,1,excellent,8 cylinders,gas,94990,automatic,4wd,full-size,truck,white
tampa bay area,33900,2015,chevrolet,1,excellent,8 cylinders,gas,94990,automatic,4wd,full-size,truck,white
tampa bay area,27500,2011,ford,1,excellent,8 cylinders,diesel,152965,automatic,4wd,full-size,truck,white
tampa bay area,31990,2017,lexus,0,excellent,4 cylinders,gas,40149,automatic,rwd,compact,coupe,black
tampa bay area,1800,2012,hyundai,0,like new,4 cylinders,gas,139661,automatic,fwd,mid-size,sedan,red
tampa bay area,2300,2003,ford,1,good,8 cylinders,gas,280000,automatic,rwd,full-size,truck,red
tampa bay area,1900,2013,hyundai,0,like new,4 cylinders,gas,90034,automatic,fwd,mid-size,sedan,red
tampa bay area,15990,2015,lexus,0,excellent,4 cylinders,hybrid,71319,automatic,fwd,full-size,hatchback,white
tampa bay area,19200,1971,chevrolet,1,good,8 cylinders,gas,56000,automatic,rwd,full-size,truck,custom
tampa bay area,13900,2013,ford,1,like new,6 cylinders,gas,55000,automatic,4wd,mid-size,SUV,grey
tampa bay area,7499,2010,mercedes-benz,0,excellent,6 cylinders,gas,104641,automatic,rwd,full-size,sedan,black
tampa bay area,5450,2006,honda,0,excellent,6 cylinders,gas,136108,automatic,fwd,mid-size,mini-van,custom
tampa bay area,5499,2007,mini,0,excellent,4 cylinders,gas,111029,manual,fwd,full-size,hatchback,green
tampa bay area,2799,2002,nissan,0,excellent,6 cylinders,gas,2000000,automatic,fwd,mid-size,SUV,silver
tampa bay area,21995,2016,ford,1,excellent,6 cylinders,gas,62933,automatic,fwd,mid-size,SUV,grey
tampa bay area,29995,2016,ford,1,excellent,6 cylinders,gas,48740,automatic,rwd,full-size,truck,grey
tampa bay area,27995,2017,ford,1,excellent,6 cylinders,gas,86265,automatic,rwd,full-size,truck,silver
tampa bay area,21990,2017,mercedes-benz,0,excellent,4 cylinders,gas,78351,automatic,fwd,mid-size,SUV,white
tampa bay area,29990,2019,ram,1,excellent,6 cylinders,gas,32698,automatic,rwd,full-size,pickup,white
tampa bay area,10990,2016,honda,0,excellent,4 cylinders,gas,142169,automatic,fwd,full-size,sedan,grey
tampa bay area,5695,2007,chevrolet,1,excellent,6 cylinders,gas,119100,automatic,fwd,full-size,sedan,custom
tampa bay area,4550,2002,buick,1,like new,6 cylinders,gas,49936,automatic,fwd,mid-size,sedan,grey
tampa bay area,3550,2007,saturn,1,like new,4 cylinders,gas,103000,automatic,fwd,mid-size,SUV,grey
tampa bay area,6850,2009,pontiac,1,like new,6 cylinders,gas,147447,automatic,rwd,mid-size,sedan,white
tampa bay area,6850,2005,lexus,0,like new,6 cylinders,gas,139980,automatic,fwd,mid-size,SUV,silver
tampa bay area,3550,2007,chrysler,1,like new,4 cylinders,gas,94000,automatic,fwd,sub-compact,convertible,silver
tampa bay area,7900,2008,chevrolet,1,like new,8 cylinders,gas,208995,automatic,4wd,full-size,SUV,brown
tampa bay area,795,2008,mercury,1,excellent,6 cylinders,gas,182532,automatic,4wd,mid-size,SUV,red
tampa bay area,495,2004,honda,0,good,4 cylinders,gas,156401,manual,4wd,mid-size,SUV,blue
tampa bay area,495,2004,honda,0,excellent,4 cylinders,gas,127946,automatic,fwd,compact,sedan,grey
tampa bay area,495,2004,honda,0,excellent,4 cylinders,gas,157426,automatic,fwd,mid-size,sedan,white
tampa bay area,595,2011,ford,1,excellent,4 cylinders,gas,143880,automatic,fwd,compact,sedan,red
tampa bay area,22900,2013,ford,1,good,8 cylinders,gas,80650,automatic,rwd,full-size,truck,white
tampa bay area,6995,2009,cadillac,1,excellent,6 cylinders,gas,56456,automatic,rwd,mid-size,sedan,black
tampa bay area,22990,2016,bmw,0,excellent,4 cylinders,gas,69998,automatic,rwd,compact,convertible,white
tampa bay area,3900,2007,kia,0,like new,6 cylinders,gas,172254,automatic,fwd,mid-size,SUV,silver
tampa bay area,8900,2012,gmc,1,like new,4 cylinders,gas,170259,automatic,fwd,mid-size,SUV,white
tampa bay area,10997,2012,toyota,0,like new,4 cylinders,hybrid,74000,automatic,fwd,compact,hatchback,silver
tampa bay area,14900,2009,jeep,1,like new,6 cylinders,gas,123001,automatic,4wd,mid-size,other,red
tampa bay area,5900,2008,audi,0,like new,4 cylinders,gas,162154,manual,fwd,mid-size,sedan,black
tampa bay area,6900,2011,nissan,0,like new,4 cylinders,gas,150980,automatic,fwd,mid-size,SUV,silver
tampa bay area,3900,2006,volvo,0,like new,5 cylinders,gas,182601,automatic,fwd,mid-size,sedan,white
tampa bay area,12900,2010,chevrolet,1,like new,8 cylinders,gas,160497,automatic,rwd,mid-size,coupe,yellow
tampa bay area,9900,2003,chevrolet,1,like new,8 cylinders,gas,114062,automatic,4wd,full-size,pickup,white
tampa bay area,6900,2011,honda,0,like new,6 cylinders,gas,171506,automatic,fwd,mid-size,sedan,black
tampa bay area,6900,2012,ford,1,like new,4 cylinders,gas,82839,automatic,fwd,mid-size,SUV,blue
tampa bay area,6900,2010,honda,0,like new,6 cylinders,gas,160105,automatic,fwd,full-size,mini-van,blue
tampa bay area,3900,2004,chevrolet,1,like new,6 cylinders,gas,134256,automatic,4wd,full-size,SUV,black
tampa bay area,3750,2008,jeep,1,excellent,4 cylinders,gas,159000,automatic,fwd,mid-size,SUV,orange
tampa bay area,23999,2016,chevrolet,1,excellent,6 cylinders,gas,36638,other,rwd,mid-size,coupe,custom
tampa bay area,29900,2018,ford,1,good,6 cylinders,gas,17480,automatic,rwd,full-size,truck,white
tampa bay area,39900,2019,ford,1,good,8 cylinders,gas,38200,automatic,4wd,full-size,truck,white
tampa bay area,26900,2017,ford,1,good,6 cylinders,gas,101100,automatic,rwd,full-size,truck,white
tampa bay area,34900,2017,chevrolet,1,good,8 cylinders,gas,10500,automatic,rwd,full-size,truck,custom
tampa bay area,36900,2018,ford,1,good,6 cylinders,gas,54030,automatic,4wd,full-size,truck,white
tampa bay area,40900,2019,ford,1,good,6 cylinders,gas,11523,automatic,4wd,full-size,truck,grey
tampa bay area,27900,2017,ford,1,good,8 cylinders,gas,101120,automatic,4wd,full-size,truck,white
tampa bay area,35900,2017,ford,1,good,6 cylinders,gas,43104,automatic,rwd,full-size,truck,brown
tampa bay area,34900,2018,ford,1,good,6 cylinders,gas,74089,automatic,4wd,full-size,truck,white
tampa bay area,30900,2017,ford,1,good,6 cylinders,gas,72607,automatic,rwd,full-size,truck,white
tampa bay area,18900,2014,ford,1,good,8 cylinders,gas,89308,automatic,rwd,full-size,truck,white
tampa bay area,34900,2018,ford,1,good,6 cylinders,gas,18534,automatic,4wd,full-size,truck,black
tampa bay area,64900,2019,gmc,1,good,8 cylinders,diesel,17887,automatic,4wd,full-size,truck,white
tampa bay area,45900,2018,ford,1,good,8 cylinders,diesel,42951,automatic,4wd,full-size,truck,white
tampa bay area,59900,2020,jeep,1,good,6 cylinders,gas,1912,automatic,4wd,full-size,truck,silver
tampa bay area,31900,2017,gmc,1,good,8 cylinders,gas,53842,automatic,4wd,full-size,truck,white
tampa bay area,25900,2016,chevrolet,1,good,8 cylinders,gas,94949,automatic,4wd,full-size,truck,white
tampa bay area,3200,2003,rover,0,fair,8 cylinders,gas,112712,automatic,4wd,full-size,SUV,silver
tampa bay area,8995,2015,nissan,0,like new,4 cylinders,gas,87820,automatic,fwd,full-size,sedan,silver
tampa bay area,17500,2018,nissan,0,excellent,4 cylinders,gas,24500,manual,rwd,mid-size,pickup,black
tampa bay area,6250,2012,ford,1,good,4 cylinders,gas,109000,automatic,4wd,mid-size,SUV,white
tampa bay area,2250,1993,ford,1,fair,8 cylinders,gas,250000,automatic,rwd,full-size,truck,red
tampa bay area,2750,1999,ford,1,good,6 cylinders,gas,207000,automatic,rwd,full-size,pickup,white
tampa bay area,4300,2007,kia,0,excellent,4 cylinders,gas,112000,automatic,fwd,mid-size,SUV,white
tampa bay area,18400,2010,lexus,0,like new,8 cylinders,gas,140000,automatic,4wd,full-size,SUV,grey
tampa bay area,3500,2008,ford,1,like new,6 cylinders,gas,115000,automatic,fwd,mid-size,sedan,red
tampa bay area,5800,2012,buick,1,excellent,6 cylinders,gas,127000,automatic,fwd,full-size,sedan,silver
tampa bay area,6900,2003,rover,0,excellent,8 cylinders,gas,164000,automatic,4wd,compact,SUV,white
tampa bay area,7900,2009,audi,0,excellent,4 cylinders,gas,102000,automatic,4wd,full-size,wagon,black
tampa bay area,11900,2006,ford,1,excellent,8 cylinders,diesel,164000,automatic,4wd,full-size,truck,grey
tampa bay area,19990,2014,bmw,0,excellent,6 cylinders,gas,105295,automatic,rwd,mid-size,sedan,white
tampa bay area,3500,2003,mazda,0,excellent,4 cylinders,gas,190000,automatic,rwd,compact,convertible,green
tampa bay area,9800,2014,toyota,0,excellent,4 cylinders,gas,109000,automatic,fwd,full-size,sedan,silver
tampa bay area,28999,2016,chevrolet,1,excellent,8 cylinders,gas,87191,automatic,4wd,full-size,truck,custom
tampa bay area,11900,2012,jeep,1,like new,8 cylinders,gas,132906,automatic,4wd,full-size,SUV,black
tampa bay area,15000,2015,ford,1,good,6 cylinders,gas,94000,automatic,rwd,full-size,pickup,white
tampa bay area,2500,2008,audi,0,good,6 cylinders,gas,132488,automatic,fwd,compact,sedan,silver
tampa bay area,3200,2009,volkswagen,0,excellent,5 cylinders,gas,156500,manual,fwd,compact,sedan,black
tampa bay area,14200,2015,mazda,0,like new,4 cylinders,gas,40400,automatic,fwd,compact,sedan,blue
tampa bay area,6400,2006,mercedes-benz,0,good,8 cylinders,gas,140000,automatic,rwd,mid-size,coupe,grey
tampa bay area,11999,2015,kia,0,excellent,4 cylinders,gas,70873,automatic,fwd,full-size,sedan,grey
tampa bay area,6950,2006,infiniti,0,good,8 cylinders,gas,161520,automatic,rwd,full-size,SUV,black
tampa bay area,12999,2016,kia,0,excellent,4 cylinders,gas,49454,automatic,fwd,mid-size,hatchback,grey
tampa bay area,2200,2006,kia,0,good,6 cylinders,gas,201000,automatic,fwd,full-size,mini-van,silver
tampa bay area,15995,2013,gmc,1,like new,8 cylinders,gas,181660,automatic,4wd,full-size,pickup,white
tampa bay area,8950,2012,honda,0,good,6 cylinders,gas,154136,automatic,fwd,mid-size,hatchback,blue
tampa bay area,5950,2015,chevrolet,1,good,4 cylinders,gas,69950,automatic,fwd,compact,hatchback,silver
tampa bay area,4500,2012,volkswagen,0,excellent,4 cylinders,gas,179971,manual,fwd,mid-size,sedan,grey
tampa bay area,6550,2011,volkswagen,0,excellent,4 cylinders,gas,105558,automatic,fwd,full-size,SUV,white
tampa bay area,4500,2007,honda,0,good,6 cylinders,gas,197663,automatic,4wd,full-size,SUV,red
tampa bay area,9999,2011,ram,1,good,8 cylinders,gas,174000,automatic,4wd,full-size,truck,silver
tampa bay area,12500,2015,volkswagen,0,excellent,4 cylinders,diesel,24600,automatic,fwd,full-size,hatchback,black
tampa bay area,21999,2019,nissan,0,excellent,4 cylinders,gas,21855,automatic,rwd,full-size,SUV,silver
tampa bay area,34999,2015,infiniti,0,excellent,8 cylinders,gas,40561,automatic,4wd,full-size,SUV,custom
tampa bay area,3995,2009,subaru,0,good,4 cylinders,gas,176414,manual,4wd,mid-size,hatchback,black
tampa bay area,4995,2012,fiat,0,like new,4 cylinders,gas,93000,manual,fwd,compact,coupe,red
tampa bay area,2995,2003,cadillac,1,excellent,8 cylinders,gas,114502,automatic,fwd,full-size,sedan,silver
tampa bay area,6995,2000,ford,1,good,8 cylinders,diesel,302000,automatic,rwd,full-size,pickup,blue
tampa bay area,14650,2016,subaru,0,excellent,4 cylinders,gas,66439,automatic,4wd,mid-size,SUV,blue
tampa bay area,6200,2013,kia,0,good,4 cylinders,gas,114000,automatic,fwd,compact,sedan,silver
tampa bay area,4400,2008,chevrolet,1,excellent,6 cylinders,gas,123000,automatic,fwd,mid-size,sedan,white
tampa bay area,35995,2019,ford,1,like new,8 cylinders,gas,11146,automatic,rwd,mid-size,coupe,custom
tampa bay area,2200,2003,ford,1,good,8 cylinders,gas,270000,automatic,rwd,full-size,SUV,red
tampa bay area,7000,1981,ford,1,good,8 cylinders,gas,78000,automatic,rwd,full-size,sedan,silver
tampa bay area,27000,2016,mercedes-benz,0,excellent,4 cylinders,gas,36000,automatic,4wd,full-size,sedan,grey
treasure coast,2100,2000,ford,1,good,6 cylinders,gas,205273,automatic,fwd,mid-size,mini-van,silver
treasure coast,975,2001,chrysler,1,good,4 cylinders,gas,120000,manual,fwd,mid-size,SUV,silver
treasure coast,4995,1999,chevrolet,1,excellent,4 cylinders,gas,109756,automatic,4wd,compact,convertible,black
treasure coast,3350,2008,nissan,0,good,4 cylinders,gas,160000,automatic,fwd,compact,sedan,silver
treasure coast,1250,2005,volvo,0,good,5 cylinders,gas,104000,automatic,rwd,mid-size,sedan,blue
treasure coast,3750,1999,ford,1,good,8 cylinders,gas,152000,automatic,rwd,full-size,truck,white
treasure coast,16500,2014,dodge,1,good,8 cylinders,gas,115222,automatic,4wd,full-size,SUV,custom
treasure coast,2495,2003,saturn,1,good,4 cylinders,gas,135145,manual,fwd,compact,sedan,silver
treasure coast,2995,2002,chrysler,1,excellent,4 cylinders,gas,88000,automatic,fwd,mid-size,sedan,silver
treasure coast,7499,2003,gmc,1,good,8 cylinders,gas,143000,automatic,rwd,full-size,truck,white
treasure coast,3500,2006,hyundai,0,good,6 cylinders,gas,118000,automatic,fwd,mid-size,sedan,blue
treasure coast,26500,2011,ford,1,excellent,8 cylinders,diesel,206354,automatic,4wd,full-size,truck,white
treasure coast,33900,2015,chevrolet,1,excellent,8 cylinders,gas,94990,automatic,4wd,full-size,truck,white
treasure coast,33900,2015,chevrolet,1,excellent,8 cylinders,gas,94990,automatic,4wd,full-size,truck,white
treasure coast,27500,2011,ford,1,excellent,8 cylinders,diesel,152965,automatic,4wd,full-size,truck,white
treasure coast,27995,2009,ford,1,excellent,8 cylinders,diesel,99000,automatic,4wd,full-size,truck,white
treasure coast,12900,2003,ford,1,good,8 cylinders,diesel,95285,automatic,fwd,full-size,truck,white
treasure coast,3995,2009,mazda,0,excellent,4 cylinders,gas,117233,automatic,fwd,compact,mini-van,red
treasure coast,32800,2017,chevrolet,1,like new,8 cylinders,gas,80000,automatic,4wd,full-size,pickup,black
treasure coast,3995,2007,mazda,0,excellent,4 cylinders,gas,112347,automatic,fwd,compact,sedan,black
treasure coast,11815,2014,nissan,0,excellent,4 cylinders,gas,63862,automatic,fwd,mid-size,sedan,silver
treasure coast,24900,2017,gmc,1,like new,4 cylinders,gas,25000,automatic,fwd,full-size,SUV,black
treasure coast,5800,2006,lincoln,1,good,8 cylinders,gas,162000,manual,rwd,full-size,SUV,white
treasure coast,29800,2011,ford,1,excellent,8 cylinders,diesel,165500,automatic,4wd,full-size,truck,brown
treasure coast,3850,2004,chevrolet,1,good,6 cylinders,gas,117700,automatic,4wd,mid-size,SUV,blue
treasure coast,32500,1952,chevrolet,1,excellent,8 cylinders,gas,8500,automatic,rwd,full-size,pickup,silver
treasure coast,10000,1979,ford,1,excellent,8 cylinders,gas,100000,automatic,rwd,full-size,pickup,black
treasure coast,14000,2004,mazda,0,excellent,other,gas,166000,manual,rwd,compact,coupe,blue
treasure coast,20800,2005,ram,1,excellent,10 cylinders,gas,142000,automatic,rwd,full-size,truck,red
treasure coast,7500,2004,ford,1,like new,6 cylinders,gas,58000,automatic,rwd,mid-size,pickup,silver
treasure coast,18000,2018,chevrolet,1,like new,8 cylinders,gas,98256,automatic,fwd,full-size,pickup,brown
treasure coast,7850,2015,chevrolet,1,like new,4 cylinders,gas,23340,automatic,fwd,sub-compact,hatchback,blue
treasure coast,27500,1972,chevrolet,1,good,8 cylinders,gas,95000,automatic,rwd,full-size,coupe,green
treasure coast,15800,2014,volkswagen,0,like new,5 cylinders,gas,25000,automatic,fwd,mid-size,convertible,white
treasure coast,24898,2011,toyota,0,excellent,8 cylinders,gas,73020,automatic,4wd,full-size,truck,grey
treasure coast,15195,2010,toyota,0,excellent,6 cylinders,gas,94630,automatic,4wd,mid-size,SUV,black
treasure coast,29948,2015,chevrolet,1,excellent,8 cylinders,gas,115764,automatic,4wd,full-size,SUV,grey
treasure coast,16995,2013,audi,0,good,6 cylinders,diesel,94593,automatic,4wd,full-size,SUV,grey
treasure coast,21995,2015,rover,0,good,4 cylinders,gas,43363,automatic,4wd,full-size,SUV,black
treasure coast,15995,2013,toyota,0,good,6 cylinders,gas,170038,automatic,rwd,full-size,SUV,red
treasure coast,4595,2005,cadillac,1,good,6 cylinders,gas,120140,automatic,rwd,full-size,SUV,silver
treasure coast,2350,2002,lexus,0,fair,6 cylinders,gas,165097,automatic,fwd,mid-size,sedan,silver
treasure coast,31455,2016,infiniti,0,excellent,8 cylinders,gas,90264,automatic,4wd,full-size,SUV,white
treasure coast,18291,2015,ford,1,excellent,6 cylinders,gas,61818,automatic,rwd,full-size,SUV,black
treasure coast,23865,1993,mazda,0,good,other,gas,110000,automatic,rwd,compact,coupe,silver
treasure coast,6500,2006,honda,0,good,4 cylinders,gas,176333,automatic,fwd,full-size,sedan,blue
treasure coast,18000,1993,ram,1,excellent,6 cylinders,diesel,354000,automatic,4wd,full-size,pickup,grey
treasure coast,14000,2008,mazda,0,like new,4 cylinders,gas,35000,automatic,fwd,compact,convertible,silver
treasure coast,14000,2008,mazda,0,like new,4 cylinders,gas,35000,automatic,fwd,compact,convertible,silver
treasure coast,9800,2013,fiat,0,like new,4 cylinders,gas,27310,automatic,fwd,compact,coupe,green
treasure coast,10900,1965,chrysler,1,good,8 cylinders,gas,129000,automatic,rwd,full-size,coupe,custom
treasure coast,10900,2011,ford,1,good,8 cylinders,gas,99800,automatic,rwd,full-size,van,white
treasure coast,9500,2006,ford,1,excellent,8 cylinders,gas,198000,automatic,4wd,full-size,pickup,brown
treasure coast,3995,2004,mitsubishi,0,good,4 cylinders,gas,168948,automatic,fwd,full-size,sedan,white
treasure coast,4995,2009,hyundai,0,good,4 cylinders,gas,193898,automatic,fwd,full-size,sedan,white
treasure coast,13000,2012,toyota,0,excellent,4 cylinders,hybrid,32772,automatic,fwd,compact,hatchback,blue
treasure coast,6800,2006,cadillac,1,good,8 cylinders,gas,154000,automatic,4wd,full-size,truck,black
treasure coast,2995,2002,ford,1,excellent,4 cylinders,gas,88000,manual,fwd,compact,hatchback,grey
treasure coast,24800,2015,toyota,0,like new,6 cylinders,gas,73000,automatic,rwd,mid-size,truck,black
treasure coast,16000,2009,gmc,1,excellent,8 cylinders,gas,60000,automatic,fwd,full-size,pickup,blue
treasure coast,3800,2007,dodge,1,excellent,4 cylinders,gas,76000,automatic,fwd,full-size,sedan,silver
treasure coast,28000,2011,ford,1,excellent,8 cylinders,diesel,152965,automatic,4wd,full-size,truck,white
treasure coast,28000,2011,ford,1,excellent,8 cylinders,diesel,152965,automatic,4wd,full-size,truck,white
treasure coast,17800,2012,ford,1,excellent,8 cylinders,diesel,266538,automatic,4wd,full-size,truck,white
treasure coast,13800,2006,ford,1,excellent,8 cylinders,gas,143631,automatic,4wd,full-size,pickup,black
treasure coast,17000,2008,mazda,0,like new,4 cylinders,gas,35000,automatic,fwd,compact,convertible,silver
treasure coast,44800,2016,gmc,1,excellent,8 cylinders,diesel,153000,automatic,4wd,full-size,truck,white
treasure coast,20800,2011,lexus,0,excellent,8 cylinders,gas,125000,automatic,4wd,full-size,SUV,white
treasure coast,4500,2003,bmw,0,good,6 cylinders,gas,147000,automatic,rwd,mid-size,coupe,blue
treasure coast,1995,2004,toyota,0,fair,6 cylinders,gas,197000,automatic,fwd,mid-size,convertible,white
treasure coast,995,1997,saturn,1,good,4 cylinders,gas,112000,automatic,fwd,compact,coupe,white
treasure coast,5900,2006,acura,0,excellent,6 cylinders,gas,153000,automatic,4wd,mid-size,sedan,white
treasure coast,14000,2011,ford,1,good,8 cylinders,gas,143000,automatic,rwd,full-size,truck,white
treasure coast,28000,2011,ford,1,excellent,8 cylinders,diesel,206354,automatic,4wd,full-size,truck,white
treasure coast,32000,2018,ram,1,good,8 cylinders,gas,61544,automatic,4wd,full-size,pickup,red
treasure coast,53800,2017,ram,1,excellent,6 cylinders,diesel,58000,automatic,4wd,full-size,truck,white
treasure coast,13900,2012,cadillac,1,excellent,6 cylinders,gas,67800,automatic,fwd,mid-size,SUV,red
treasure coast,6000,1997,mercedes-benz,0,good,8 cylinders,gas,148650,automatic,rwd,mid-size,convertible,silver
daytona beach,3300,1997,ford,1,fair,8 cylinders,diesel,350000,automatic,rwd,full-size,truck,green
daytona beach,4400,1988,ford,1,good,8 cylinders,gas,137167,automatic,rwd,mid-size,coupe,silver
daytona beach,2200,2006,ford,1,good,4 cylinders,gas,150000,manual,fwd,compact,hatchback,grey
daytona beach,10900,2014,ford,1,excellent,6 cylinders,gas,231000,automatic,rwd,full-size,truck,white
daytona beach,23500,2014,ford,1,good,6 cylinders,gas,119000,automatic,rwd,full-size,truck,black
daytona beach,2150,2004,mitsubishi,0,good,8 cylinders,gas,157000,automatic,rwd,full-size,SUV,silver
daytona beach,4800,2011,nissan,0,good,4 cylinders,gas,120500,automatic,fwd,full-size,sedan,black
daytona beach,8950,2015,buick,1,good,4 cylinders,gas,84842,automatic,fwd,mid-size,sedan,silver
daytona beach,4995,2000,gmc,1,excellent,6 cylinders,gas,148245,automatic,rwd,mid-size,truck,blue
daytona beach,2200,1998,saturn,1,good,4 cylinders,gas,142797,automatic,fwd,mid-size,sedan,white
daytona beach,6000,2005,honda,0,excellent,6 cylinders,gas,109297,automatic,fwd,mid-size,van,silver
