,Unnamed: 0,X,price,years_old,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,mileage,manufacturer_luxury,manufacturer_normal,condition_excellent,condition_fair,condition_good,condition_like new,condition_new,condition_salvage,cylinders_3 cylinders,cylinders_4 cylinders,cylinders_5 cylinders,cylinders_6 cylinders,cylinders_8 cylinders,cylinders_10 cylinders,cylinders_12 cylinders,cylinders_other,fuel_diesel,fuel_electric,fuel_gas,fuel_hybrid,fuel_other,title_status_clean,title_status_lien,title_status_missing,title_status_parts only,title_status_rebuilt,title_status_salvage,transmission_automatic,transmission_manual,transmission_other,drive_4wd,drive_fwd,drive_rwd,size_compact,size_full-size,size_mid-size,size_sub-compact,type_bus,type_convertible,type_coupe,type_hatchback,type_mini-van,type_offroad,type_other,type_pickup,type_sedan,type_SUV,type_truck,type_van,type_wagon,paint_color_black,paint_color_blue,paint_color_brown,paint_color_custom,paint_color_green,paint_color_grey,paint_color_orange,paint_color_purple,paint_color_red,paint_color_silver,paint_color_white,paint_color_yellow,mileage_average,mileage_high,mileage_low,mileage_vh,log_price
17,18,17,25995,2,normal,excellent,4 cylinders,gas,33938.0,clean,automatic,4wd,mid-size,wagon,grey,high,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10.1656594908178
18,19,18,14995,1,normal,like new,4 cylinders,gas,16654.0,clean,automatic,fwd,compact,sedan,black,high,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.61547209118311
19,20,19,6000,25,normal,good,8 cylinders,diesel,260000.0,clean,automatic,rwd,full-size,truck,grey,very-high,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.699514748210191
20,21,20,12888,3,normal,excellent,4 cylinders,gas,28213.0,clean,manual,fwd,compact,sedan,silver,high,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,9.464051924856811
21,22,21,7950,12,normal,excellent,6 cylinders,gas,32636.0,clean,automatic,fwd,compact,SUV,silver,high,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8.980927207648381
22,23,22,4950,9,normal,good,4 cylinders,gas,153303.0,clean,manual,fwd,compact,SUV,white,very-high,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8.50714285556274
23,24,23,3950,13,normal,good,4 cylinders,gas,107715.0,clean,automatic,fwd,compact,sedan,black,very-high,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.28147085789517
24,25,24,17950,8,normal,good,6 cylinders,gas,128690.0,clean,automatic,4wd,full-size,pickup,grey,very-high,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9.79534539391642
25,26,25,6950,11,normal,good,4 cylinders,gas,149015.0,clean,automatic,fwd,sub-compact,SUV,blue,very-high,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.84649693855884
26,27,26,3995,14,normal,excellent,4 cylinders,gas,129811.0,clean,automatic,fwd,compact,mini-van,blue,very-high,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.29279885820037
27,28,27,2795,26,normal,excellent,6 cylinders,gas,51589.0,clean,automatic,fwd,mid-size,sedan,green,very-high,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7.9355873855892005
28,29,28,8450,4,normal,excellent,4 cylinders,gas,46069.0,clean,automatic,fwd,sub-compact,sedan,black,high,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.04192172035122
29,30,29,6950,8,normal,good,4 cylinders,gas,101301.0,clean,automatic,fwd,mid-size,sedan,green,very-high,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8.84649693855884
30,31,30,17800,6,luxury,excellent,6 cylinders,gas,41000.0,clean,automatic,rwd,full-size,sedan,black,high,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.78695373628018
31,32,31,14950,7,normal,good,6 cylinders,gas,126015.0,clean,automatic,rwd,full-size,pickup,white,very-high,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.61246657881883
32,33,32,3450,15,normal,good,8 cylinders,gas,144936.0,clean,automatic,rwd,mid-size,SUV,red,very-high,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.14612951002541
33,34,33,8950,4,normal,good,4 cylinders,gas,42810.0,clean,automatic,fwd,sub-compact,hatchback,silver,high,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,9.099408811268901
34,35,34,6450,12,normal,good,6 cylinders,gas,139825.0,clean,automatic,fwd,mid-size,mini-van,black,very-high,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.77183540978982
35,36,35,3750,16,normal,good,6 cylinders,gas,149877.0,clean,automatic,fwd,compact,SUV,blue,very-high,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.22951111896446
36,37,36,5999,16,luxury,excellent,8 cylinders,gas,54895.0,clean,automatic,rwd,full-size,sedan,brown,very-high,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8.699348067653089
37,38,37,4950,8,normal,excellent,6 cylinders,gas,103000.0,clean,automatic,rwd,mid-size,van,silver,very-high,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8.50714285556274
38,39,38,2900,17,normal,good,8 cylinders,gas,240000.0,clean,automatic,4wd,full-size,SUV,brown,very-high,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.972466015974571
39,40,39,4200,19,normal,good,8 cylinders,gas,178845.0,clean,automatic,4wd,full-size,SUV,white,very-high,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8.34283980427146
40,41,40,13500,11,normal,excellent,6 cylinders,gas,104000.0,clean,automatic,rwd,full-size,coupe,red,very-high,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9.51044496442652
41,42,41,7299,11,luxury,excellent,6 cylinders,gas,156000.0,clean,automatic,rwd,full-size,sedan,silver,very-high,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8.895492631451631
42,43,42,15500,8,normal,excellent,6 cylinders,gas,149000.0,clean,automatic,rwd,full-size,truck,white,very-high,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.648595302907339
43,44,43,12500,8,luxury,excellent,8 cylinders,gas,92000.0,clean,automatic,rwd,full-size,sedan,black,very-high,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.43348392329039
44,45,44,11500,9,normal,excellent,6 cylinders,gas,124000.0,clean,automatic,fwd,full-size,sedan,black,very-high,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.35010231435134
45,46,45,23995,7,luxury,excellent,8 cylinders,gas,79000.0,clean,automatic,4wd,full-size,SUV,black,very-high,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.085600754292301
46,47,46,12000,10,normal,excellent,8 cylinders,gas,143000.0,clean,automatic,4wd,full-size,SUV,black,very-high,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.39266192877014
47,48,47,9500,7,normal,like new,6 cylinders,gas,116000.0,clean,automatic,fwd,full-size,SUV,white,very-high,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.159047077588632
48,49,48,9500,11,luxury,excellent,8 cylinders,gas,144000.0,clean,automatic,4wd,full-size,SUV,black,very-high,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.159047077588632
49,50,49,8500,7,normal,excellent,4 cylinders,gas,120000.0,clean,automatic,fwd,full-size,hatchback,black,very-high,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.04782144247841
50,51,50,8500,8,normal,excellent,4 cylinders,gas,102000.0,clean,automatic,fwd,full-size,SUV,white,very-high,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.04782144247841
51,52,51,7500,14,normal,excellent,8 cylinders,gas,236000.0,clean,automatic,4wd,full-size,truck,green,very-high,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8.9226582995244
52,53,52,5995,9,normal,excellent,6 cylinders,gas,158003.0,clean,automatic,4wd,mid-size,SUV,black,very-high,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.69868106746161
53,54,53,500,20,normal,good,6 cylinders,gas,250000.0,clean,automatic,4wd,full-size,SUV,grey,very-high,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6.21460809842219
54,55,54,1200,18,normal,fair,6 cylinders,gas,198459.0,clean,automatic,fwd,full-size,mini-van,blue,very-high,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.090076835776089
55,56,55,3995,13,luxury,like new,6 cylinders,gas,85166.0,clean,automatic,rwd,full-size,SUV,black,very-high,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.29279885820037
56,57,56,2995,18,normal,like new,6 cylinders,gas,214231.0,clean,automatic,rwd,full-size,SUV,silver,very-high,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8.00469951054955
57,58,57,2995,18,normal,like new,6 cylinders,gas,218872.0,clean,automatic,rwd,full-size,SUV,black,very-high,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.00469951054955
58,59,58,3495,12,normal,like new,4 cylinders,gas,190268.0,clean,automatic,fwd,full-size,sedan,grey,very-high,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.15908865466791
59,60,59,1998,14,normal,good,6 cylinders,gas,157813.0,clean,automatic,fwd,mid-size,mini-van,white,very-high,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7.5999019592085
60,61,60,2498,19,normal,excellent,6 cylinders,gas,133068.0,clean,automatic,fwd,mid-size,sedan,brown,very-high,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.823245690685519
61,62,61,24500,3,normal,excellent,6 cylinders,gas,32000.0,clean,other,fwd,full-size,SUV,grey,high,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10.1064283965328
62,63,62,5999,9,normal,good,4 cylinders,hybrid,141500.0,clean,automatic,fwd,compact,hatchback,white,very-high,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8.699348067653089
63,64,63,3000,23,normal,fair,8 cylinders,gas,280000.0,clean,automatic,4wd,full-size,pickup,blue,very-high,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.00636756765025
64,65,64,34900,5,normal,excellent,8 cylinders,gas,94990.0,clean,automatic,4wd,full-size,truck,white,very-high,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10.4602421081905
