,price,years_old,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
61,24500,3.0,normal,excellent,6 cylinders,gas,32000.0,clean,other,fwd,full-size,SUV,grey
62,5999,9.0,normal,good,4 cylinders,hybrid,141500.0,clean,automatic,fwd,compact,hatchback,white
63,3000,23.0,normal,fair,8 cylinders,gas,280000.0,clean,automatic,4wd,full-size,pickup,blue
64,34900,5.0,normal,excellent,8 cylinders,gas,94990.0,clean,automatic,4wd,full-size,truck,white
65,7700,10.0,normal,like new,4 cylinders,gas,134672.0,clean,automatic,fwd,mid-size,sedan,grey
66,6500,14.0,normal,good,4 cylinders,gas,176333.0,clean,automatic,fwd,full-size,sedan,blue
67,3500,12.0,normal,good,4 cylinders,gas,192107.0,clean,automatic,fwd,compact,sedan,grey
68,3995,15.0,normal,excellent,6 cylinders,gas,122000.0,clean,automatic,fwd,full-size,sedan,silver
69,2495,17.0,normal,good,4 cylinders,gas,135145.0,clean,manual,fwd,compact,sedan,silver
70,3995,15.0,normal,excellent,6 cylinders,gas,138018.0,clean,automatic,rwd,full-size,sedan,silver
71,2195,24.0,normal,good,4 cylinders,gas,221000.0,clean,automatic,fwd,full-size,sedan,white
72,2995,18.0,normal,excellent,4 cylinders,gas,88000.0,clean,automatic,fwd,mid-size,sedan,silver
73,3700,14.0,normal,good,6 cylinders,gas,118000.0,clean,automatic,fwd,mid-size,sedan,blue
74,14000,8.0,luxury,excellent,4 cylinders,gas,83350.0,clean,automatic,rwd,full-size,sedan,black
75,5995,10.0,normal,like new,4 cylinders,gas,149904.0,clean,automatic,fwd,compact,sedan,black
76,18800,8.0,normal,excellent,8 cylinders,diesel,266538.0,clean,automatic,4wd,full-size,truck,white
77,19600,4.0,normal,like new,4 cylinders,gas,73000.0,clean,automatic,fwd,full-size,sedan,white
78,6999,10.0,normal,like new,4 cylinders,gas,168984.0,clean,automatic,fwd,full-size,mini-van,white
79,3500,19.0,normal,good,4 cylinders,gas,125805.0,clean,automatic,fwd,compact,coupe,red
80,7800,14.0,normal,excellent,6 cylinders,gas,75000.0,clean,automatic,rwd,full-size,SUV,white
81,10000,18.0,normal,excellent,8 cylinders,diesel,286000.0,clean,automatic,4wd,full-size,truck,white
82,7995,15.0,normal,excellent,6 cylinders,gas,115194.0,clean,automatic,rwd,full-size,sedan,grey
83,37999,9.0,normal,excellent,8 cylinders,diesel,69123.0,clean,automatic,4wd,full-size,truck,black
84,7495,15.0,normal,excellent,4 cylinders,gas,86181.0,clean,automatic,rwd,sub-compact,sedan,silver
85,7999,8.0,normal,excellent,6 cylinders,gas,98653.0,clean,automatic,fwd,mid-size,mini-van,white
86,8999,9.0,normal,good,4 cylinders,gas,80680.0,clean,automatic,fwd,mid-size,SUV,black
87,5999,13.0,normal,excellent,8 cylinders,gas,126333.0,clean,automatic,rwd,full-size,sedan,red
88,15999,2.0,normal,excellent,6 cylinders,gas,33115.0,clean,automatic,fwd,mid-size,SUV,red
89,9800,29.0,normal,excellent,6 cylinders,gas,120000.0,clean,manual,rwd,compact,other,white
90,5950,8.0,normal,like new,6 cylinders,gas,119000.0,clean,automatic,fwd,full-size,van,silver
91,6000,19.0,normal,good,8 cylinders,gas,132650.0,clean,automatic,4wd,full-size,pickup,white
92,9950,25.0,normal,good,8 cylinders,gas,72000.0,clean,automatic,rwd,full-size,coupe,white
93,11500,34.0,normal,good,4 cylinders,gas,127500.0,clean,manual,4wd,mid-size,truck,blue
94,5995,8.0,normal,excellent,4 cylinders,gas,96781.0,clean,automatic,fwd,compact,hatchback,red
95,8299,16.0,normal,excellent,6 cylinders,gas,98643.0,clean,automatic,rwd,compact,coupe,red
96,1,3.0,luxury,excellent,8 cylinders,gas,41287.0,clean,automatic,4wd,full-size,SUV,black
97,1,6.0,normal,excellent,4 cylinders,gas,63494.0,clean,manual,4wd,compact,sedan,blue
98,1,5.0,normal,excellent,10 cylinders,gas,60717.0,clean,other,4wd,full-size,truck,grey
99,1,0.0,normal,excellent,10 cylinders,gas,17879.0,clean,other,4wd,compact,sedan,grey
100,1,2.0,normal,excellent,8 cylinders,gas,20316.0,clean,automatic,rwd,mid-size,coupe,black
101,1,8.0,normal,excellent,6 cylinders,gas,66000.0,clean,manual,rwd,mid-size,coupe,black
