,price,years_old,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,mileage
63,3000,23.0,normal,fair,8 cylinders,gas,280000.0,clean,automatic,4wd,full-size,pickup,blue,very-high
64,34900,5.0,normal,excellent,8 cylinders,gas,94990.0,clean,automatic,4wd,full-size,truck,white,very-high
65,7700,10.0,normal,like new,4 cylinders,gas,134672.0,clean,automatic,fwd,mid-size,sedan,grey,very-high
66,6500,14.0,normal,good,4 cylinders,gas,176333.0,clean,automatic,fwd,full-size,sedan,blue,very-high
67,3500,12.0,normal,good,4 cylinders,gas,192107.0,clean,automatic,fwd,compact,sedan,grey,very-high
68,3995,15.0,normal,excellent,6 cylinders,gas,122000.0,clean,automatic,fwd,full-size,sedan,silver,very-high
69,2495,17.0,normal,good,4 cylinders,gas,135145.0,clean,manual,fwd,compact,sedan,silver,very-high
70,3995,15.0,normal,excellent,6 cylinders,gas,138018.0,clean,automatic,rwd,full-size,sedan,silver,very-high
71,2195,24.0,normal,good,4 cylinders,gas,221000.0,clean,automatic,fwd,full-size,sedan,white,very-high
72,2995,18.0,normal,excellent,4 cylinders,gas,88000.0,clean,automatic,fwd,mid-size,sedan,silver,very-high
73,3700,14.0,normal,good,6 cylinders,gas,118000.0,clean,automatic,fwd,mid-size,sedan,blue,very-high
74,14000,8.0,luxury,excellent,4 cylinders,gas,83350.0,clean,automatic,rwd,full-size,sedan,black,very-high
75,5995,10.0,normal,like new,4 cylinders,gas,149904.0,clean,automatic,fwd,compact,sedan,black,very-high
76,18800,8.0,normal,excellent,8 cylinders,diesel,266538.0,clean,automatic,4wd,full-size,truck,white,very-high
77,19600,4.0,normal,like new,4 cylinders,gas,73000.0,clean,automatic,fwd,full-size,sedan,white,very-high
78,6999,10.0,normal,like new,4 cylinders,gas,168984.0,clean,automatic,fwd,full-size,mini-van,white,very-high
79,3500,19.0,normal,good,4 cylinders,gas,125805.0,clean,automatic,fwd,compact,coupe,red,very-high
80,7800,14.0,normal,excellent,6 cylinders,gas,75000.0,clean,automatic,rwd,full-size,SUV,white,very-high
81,10000,18.0,normal,excellent,8 cylinders,diesel,286000.0,clean,automatic,4wd,full-size,truck,white,very-high
82,7995,15.0,normal,excellent,6 cylinders,gas,115194.0,clean,automatic,rwd,full-size,sedan,grey,very-high
83,37999,9.0,normal,excellent,8 cylinders,diesel,69123.0,clean,automatic,4wd,full-size,truck,black,very-high
84,7495,15.0,normal,excellent,4 cylinders,gas,86181.0,clean,automatic,rwd,sub-compact,sedan,silver,very-high
85,7999,8.0,normal,excellent,6 cylinders,gas,98653.0,clean,automatic,fwd,mid-size,mini-van,white,very-high
86,8999,9.0,normal,good,4 cylinders,gas,80680.0,clean,automatic,fwd,mid-size,SUV,black,very-high
87,5999,13.0,normal,excellent,8 cylinders,gas,126333.0,clean,automatic,rwd,full-size,sedan,red,very-high
88,15999,2.0,normal,excellent,6 cylinders,gas,33115.0,clean,automatic,fwd,mid-size,SUV,red,high
89,9800,29.0,normal,excellent,6 cylinders,gas,120000.0,clean,manual,rwd,compact,other,white,very-high
90,5950,8.0,normal,like new,6 cylinders,gas,119000.0,clean,automatic,fwd,full-size,van,silver,very-high
91,6000,19.0,normal,good,8 cylinders,gas,132650.0,clean,automatic,4wd,full-size,pickup,white,very-high
92,9950,25.0,normal,good,8 cylinders,gas,72000.0,clean,automatic,rwd,full-size,coupe,white,very-high
93,11500,34.0,normal,good,4 cylinders,gas,127500.0,clean,manual,4wd,mid-size,truck,blue,very-high
94,5995,8.0,normal,excellent,4 cylinders,gas,96781.0,clean,automatic,fwd,compact,hatchback,red,very-high
95,8299,16.0,normal,excellent,6 cylinders,gas,98643.0,clean,automatic,rwd,compact,coupe,red,very-high
96,1,3.0,luxury,excellent,8 cylinders,gas,41287.0,clean,automatic,4wd,full-size,SUV,black,high
97,1,6.0,normal,excellent,4 cylinders,gas,63494.0,clean,manual,4wd,compact,sedan,blue,very-high
98,1,5.0,normal,excellent,10 cylinders,gas,60717.0,clean,other,4wd,full-size,truck,grey,very-high
99,1,0.0,normal,excellent,10 cylinders,gas,17879.0,clean,other,4wd,compact,sedan,grey,high
100,1,2.0,normal,excellent,8 cylinders,gas,20316.0,clean,automatic,rwd,mid-size,coupe,black,high
101,1,8.0,normal,excellent,6 cylinders,gas,66000.0,clean,manual,rwd,mid-size,coupe,black,very-high
102,1,5.0,luxury,excellent,10 cylinders,gas,30430.0,clean,other,4wd,mid-size,coupe,white,high
103,1,2.0,normal,excellent,10 cylinders,gas,34945.0,clean,other,4wd,mid-size,coupe,grey,high
104,1,4.0,normal,excellent,10 cylinders,gas,69813.0,clean,other,4wd,compact,sedan,grey,very-high
105,2500,16.0,normal,excellent,6 cylinders,gas,129146.0,clean,manual,rwd,mid-size,truck,brown,very-high
106,18900,8.0,luxury,excellent,8 cylinders,gas,177707.0,clean,automatic,4wd,full-size,SUV,brown,very-high
107,28999,4.0,normal,excellent,8 cylinders,gas,87191.0,clean,automatic,4wd,full-size,truck,custom,very-high
108,23900,6.0,luxury,excellent,8 cylinders,gas,127835.0,clean,automatic,4wd,full-size,SUV,black,very-high
109,7500,12.0,normal,excellent,4 cylinders,gas,84835.0,clean,manual,rwd,compact,convertible,silver,very-high
110,3900,15.0,normal,good,6 cylinders,gas,198622.0,clean,automatic,4wd,mid-size,SUV,grey,very-high
111,21999,1.0,normal,excellent,4 cylinders,gas,21855.0,clean,automatic,rwd,full-size,SUV,silver,high
112,34999,5.0,normal,excellent,8 cylinders,gas,40561.0,clean,automatic,4wd,full-size,SUV,custom,high
113,6295,14.0,normal,excellent,6 cylinders,gas,126158.0,clean,automatic,fwd,full-size,sedan,silver,very-high
114,7995,9.0,normal,excellent,4 cylinders,gas,141135.0,clean,automatic,fwd,full-size,sedan,silver,very-high
115,5695,10.0,normal,excellent,4 cylinders,gas,116873.0,clean,automatic,fwd,mid-size,sedan,white,very-high
116,6395,9.0,normal,excellent,4 cylinders,gas,95583.0,clean,automatic,fwd,full-size,SUV,white,very-high
117,7095,10.0,normal,excellent,4 cylinders,gas,142992.0,clean,automatic,fwd,full-size,sedan,grey,very-high
118,32500,25.0,normal,like new,6 cylinders,diesel,130000.0,clean,manual,rwd,full-size,truck,black,very-high
119,7995,9.0,normal,excellent,4 cylinders,gas,130320.0,clean,automatic,4wd,full-size,sedan,grey,very-high
120,2500,14.0,normal,good,6 cylinders,gas,156337.0,clean,automatic,fwd,mid-size,sedan,silver,very-high
121,7495,7.0,normal,excellent,4 cylinders,gas,102550.0,clean,automatic,fwd,mid-size,sedan,grey,very-high
122,10800,11.0,luxury,like new,6 cylinders,gas,64450.0,clean,automatic,rwd,compact,coupe,white,very-high
123,8400,10.0,normal,excellent,6 cylinders,gas,87000.0,clean,automatic,rwd,mid-size,convertible,red,very-high
124,5000,12.0,normal,good,4 cylinders,gas,190000.0,clean,automatic,fwd,full-size,sedan,black,very-high
125,15750,9.0,luxury,excellent,6 cylinders,gas,84800.0,clean,automatic,rwd,compact,convertible,grey,very-high
126,27500,1.0,normal,excellent,4 cylinders,gas,6288.0,clean,automatic,fwd,mid-size,SUV,grey,low
127,10000,20.0,luxury,excellent,8 cylinders,gas,93000.0,clean,automatic,rwd,full-size,convertible,white,very-high
128,3000,36.0,normal,fair,8 cylinders,gas,1.0,clean,automatic,rwd,full-size,coupe,white,low
129,14500,5.0,normal,like new,6 cylinders,gas,124635.0,rebuilt,automatic,rwd,full-size,pickup,white,very-high
130,7500,16.0,normal,excellent,5 cylinders,gas,98000.0,clean,automatic,rwd,mid-size,pickup,white,very-high
131,6799,14.0,normal,excellent,5 cylinders,gas,76937.0,clean,automatic,fwd,compact,convertible,white,very-high
132,3950,14.0,luxury,excellent,6 cylinders,gas,209000.0,clean,automatic,4wd,full-size,sedan,red,very-high
133,8299,14.0,luxury,excellent,6 cylinders,gas,71754.0,clean,automatic,fwd,full-size,sedan,white,very-high
134,5999,12.0,normal,excellent,6 cylinders,gas,79030.0,clean,automatic,fwd,full-size,convertible,silver,very-high
135,3900,17.0,normal,excellent,6 cylinders,gas,109000.0,clean,automatic,4wd,full-size,SUV,yellow,very-high
136,2900,20.0,normal,excellent,4 cylinders,gas,154000.0,clean,automatic,4wd,full-size,hatchback,red,very-high
137,5900,10.0,normal,good,6 cylinders,gas,98000.0,clean,automatic,fwd,full-size,SUV,blue,very-high
138,33500,2.0,normal,excellent,6 cylinders,gas,31826.0,clean,automatic,fwd,mid-size,SUV,black,high
139,10500,8.0,luxury,excellent,4 cylinders,gas,63000.0,clean,automatic,fwd,mid-size,sedan,black,very-high
140,7490,8.0,normal,excellent,4 cylinders,gas,80412.0,clean,automatic,fwd,compact,sedan,black,very-high
141,10990,9.0,normal,excellent,6 cylinders,gas,105164.0,clean,automatic,fwd,full-size,mini-van,white,very-high
142,39900,3.0,normal,excellent,8 cylinders,gas,47221.0,clean,automatic,4wd,full-size,SUV,silver,high
143,19500,6.0,luxury,like new,6 cylinders,gas,20750.0,clean,automatic,rwd,mid-size,coupe,custom,high
144,4499,16.0,normal,new,6 cylinders,gas,85000.0,clean,automatic,fwd,full-size,sedan,red,very-high
145,7399,7.0,normal,like new,4 cylinders,gas,137000.0,clean,automatic,fwd,full-size,SUV,red,very-high
146,3950,14.0,normal,excellent,6 cylinders,gas,120000.0,clean,automatic,fwd,full-size,mini-van,blue,very-high
147,25000,4.0,normal,excellent,6 cylinders,gas,86000.0,clean,automatic,4wd,full-size,SUV,white,very-high
148,3950,17.0,normal,excellent,4 cylinders,gas,11200.0,clean,automatic,fwd,mid-size,sedan,silver,average
149,6900,16.0,luxury,excellent,6 cylinders,gas,150.0,clean,automatic,fwd,full-size,SUV,silver,low
150,12900,4.0,normal,like new,4 cylinders,gas,58000.0,clean,automatic,fwd,full-size,sedan,white,very-high
151,14900,3.0,normal,like new,4 cylinders,gas,69.0,clean,automatic,fwd,mid-size,SUV,grey,low
152,9500,14.0,normal,excellent,4 cylinders,gas,117.0,clean,automatic,fwd,full-size,SUV,white,low
153,15500,9.0,luxury,excellent,6 cylinders,gas,25982.0,clean,automatic,fwd,full-size,sedan,red,high
154,6000,9.0,luxury,salvage,8 cylinders,gas,52846.0,rebuilt,automatic,fwd,full-size,sedan,custom,very-high
155,11800,19.0,luxury,excellent,6 cylinders,gas,43000.0,clean,automatic,rwd,compact,convertible,silver,high
156,26500,9.0,normal,excellent,8 cylinders,diesel,206354.0,clean,automatic,4wd,full-size,truck,white,very-high
157,33900,5.0,normal,excellent,8 cylinders,gas,94990.0,clean,automatic,4wd,full-size,truck,white,very-high
158,33900,5.0,normal,excellent,8 cylinders,gas,94990.0,clean,automatic,4wd,full-size,truck,white,very-high
159,27500,9.0,normal,excellent,8 cylinders,diesel,152965.0,clean,automatic,4wd,full-size,truck,white,very-high
160,5000,13.0,luxury,good,6 cylinders,gas,153000.0,clean,automatic,4wd,mid-size,SUV,white,very-high
161,18950,9.0,luxury,excellent,6 cylinders,gas,21410.0,clean,automatic,fwd,mid-size,sedan,blue,high
162,4900,16.0,normal,excellent,8 cylinders,gas,251942.0,clean,automatic,4wd,full-size,SUV,blue,very-high
163,15000,5.0,normal,excellent,4 cylinders,gas,10400.0,clean,manual,rwd,compact,convertible,red,average
164,7599,8.0,normal,excellent,4 cylinders,electric,109078.0,clean,automatic,fwd,mid-size,hatchback,silver,very-high
165,16298,6.0,normal,like new,6 cylinders,gas,62122.0,clean,automatic,fwd,full-size,sedan,red,very-high
166,13998,2.0,normal,like new,4 cylinders,gas,15195.0,clean,automatic,fwd,compact,sedan,black,high
167,12500,7.0,normal,excellent,4 cylinders,gas,28135.0,clean,automatic,fwd,compact,wagon,red,high
168,40900,5.0,luxury,excellent,8 cylinders,gas,36263.0,clean,automatic,4wd,mid-size,sedan,grey,high
169,12500,8.0,normal,good,8 cylinders,gas,174000.0,clean,automatic,rwd,full-size,truck,red,very-high
170,6895,12.0,normal,like new,6 cylinders,gas,184000.0,clean,automatic,4wd,mid-size,sedan,grey,very-high
171,3500,13.0,luxury,good,6 cylinders,gas,231000.0,clean,automatic,fwd,mid-size,SUV,custom,very-high
172,5499,17.0,normal,like new,6 cylinders,gas,147000.0,clean,automatic,fwd,full-size,mini-van,silver,very-high
173,11000,12.0,normal,good,8 cylinders,diesel,175714.0,clean,automatic,rwd,full-size,truck,white,very-high
174,5250,28.0,normal,good,6 cylinders,gas,122117.0,clean,automatic,fwd,mid-size,coupe,red,very-high
175,3295,19.0,luxury,good,8 cylinders,gas,82868.0,clean,automatic,rwd,full-size,sedan,silver,very-high
176,58500,1.0,normal,like new,8 cylinders,gas,11500.0,clean,automatic,4wd,full-size,pickup,red,average
177,7850,5.0,normal,like new,4 cylinders,gas,23340.0,clean,automatic,fwd,sub-compact,hatchback,blue,high
178,1200,17.0,normal,fair,6 cylinders,gas,80000.0,clean,automatic,fwd,mid-size,sedan,white,very-high
179,13999,5.0,normal,excellent,6 cylinders,gas,55090.0,clean,automatic,fwd,mid-size,sedan,white,very-high
180,7898,8.0,normal,excellent,4 cylinders,gas,69399.0,clean,automatic,fwd,mid-size,convertible,red,very-high
181,20698,6.0,normal,excellent,8 cylinders,gas,78297.0,clean,automatic,rwd,full-size,truck,white,very-high
182,18798,5.0,normal,excellent,6 cylinders,gas,81351.0,clean,automatic,fwd,full-size,SUV,red,very-high
183,17750,3.0,normal,excellent,4 cylinders,gas,16759.0,clean,automatic,4wd,compact,wagon,blue,high
184,3700,14.0,normal,like new,8 cylinders,gas,170.0,clean,automatic,rwd,full-size,sedan,white,low
185,21500,1.0,normal,excellent,4 cylinders,gas,5889.0,clean,automatic,fwd,mid-size,SUV,black,low
186,74900,0.0,luxury,excellent,8 cylinders,gas,8732.0,clean,automatic,4wd,full-size,SUV,white,average
187,46900,1.0,normal,excellent,4 cylinders,gas,12914.0,clean,automatic,4wd,mid-size,SUV,grey,average
188,6300,9.0,normal,excellent,4 cylinders,gas,88000.0,clean,automatic,fwd,mid-size,sedan,blue,very-high
189,3500,18.0,normal,good,8 cylinders,gas,176000.0,clean,automatic,4wd,full-size,pickup,silver,very-high
190,6990,8.0,normal,excellent,4 cylinders,gas,80412.0,clean,automatic,fwd,compact,sedan,black,very-high
