,Unnamed: 0,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
2166,2166,1,2019.0,normal,excellent,10 cylinders,gas,27048.0,clean,other,4wd,mid-size,coupe,black
2251,2251,76999,2018.0,normal,excellent,8 cylinders,gas,30875.0,clean,automatic,4wd,full-size,SUV,black
2267,2267,28500,2018.0,normal,excellent,6 cylinders,gas,19500.0,clean,automatic,fwd,full-size,van,brown
2279,2279,79800,2020.0,luxury,like new,8 cylinders,gas,3345.0,clean,automatic,4wd,full-size,SUV,white
2289,2289,17995,2019.0,normal,excellent,4 cylinders,gas,25271.0,clean,automatic,fwd,full-size,sedan,black
2291,2291,14995,2019.0,normal,like new,4 cylinders,gas,8904.0,clean,automatic,fwd,compact,sedan,silver
2293,2293,26000,2019.0,normal,like new,4 cylinders,gas,19388.0,clean,automatic,fwd,full-size,SUV,black
2298,2298,30548,2018.0,normal,like new,4 cylinders,gas,28467.0,clean,automatic,rwd,full-size,truck,silver
2304,2304,30548,2018.0,normal,like new,4 cylinders,gas,28467.0,clean,automatic,rwd,full-size,truck,silver
2336,2336,1,2018.0,normal,excellent,8 cylinders,gas,86243.0,clean,automatic,4wd,full-size,truck,white
2338,2338,1,2018.0,normal,excellent,8 cylinders,gas,45508.0,clean,automatic,4wd,full-size,truck,black
2365,2365,25999,2019.0,normal,excellent,6 cylinders,gas,15710.0,clean,automatic,rwd,mid-size,coupe,purple
2366,2366,37999,2018.0,normal,excellent,8 cylinders,gas,20316.0,clean,automatic,rwd,mid-size,coupe,black
2367,2367,25999,2019.0,normal,excellent,6 cylinders,gas,17560.0,clean,automatic,rwd,mid-size,coupe,black
2377,2377,1,2018.0,normal,excellent,6 cylinders,diesel,53172.0,clean,automatic,4wd,full-size,truck,silver
2378,2378,1,2018.0,normal,excellent,8 cylinders,gas,86243.0,clean,automatic,4wd,full-size,truck,white
2381,2381,1,2018.0,normal,excellent,8 cylinders,gas,45508.0,clean,automatic,4wd,full-size,truck,black
2392,2392,12999,2019.0,normal,excellent,4 cylinders,gas,30304.0,clean,automatic,fwd,compact,sedan,black
2398,2398,16990,2018.0,normal,like new,4 cylinders,gas,35812.0,clean,automatic,4wd,compact,SUV,black
2409,2409,23995,2019.0,normal,good,4 cylinders,gas,32448.0,clean,automatic,fwd,full-size,van,grey
2436,2436,49800,2018.0,normal,new,6 cylinders,diesel,100.0,clean,automatic,4wd,full-size,truck,white
2440,2440,37999,2018.0,normal,excellent,8 cylinders,gas,20316.0,clean,automatic,rwd,mid-size,coupe,black
2441,2441,25999,2019.0,normal,excellent,6 cylinders,gas,17560.0,clean,automatic,rwd,mid-size,coupe,black
2460,2460,1,2018.0,normal,excellent,6 cylinders,diesel,53172.0,clean,automatic,4wd,full-size,truck,silver
2463,2463,1,2018.0,normal,excellent,10 cylinders,gas,32898.0,clean,other,4wd,mid-size,coupe,purple
2507,2507,17900,2018.0,normal,like new,4 cylinders,gas,22000.0,clean,automatic,fwd,full-size,SUV,silver
2514,2514,38900,2018.0,normal,excellent,6 cylinders,gas,24329.0,clean,automatic,4wd,mid-size,truck,blue
2531,2531,53900,2019.0,normal,excellent,8 cylinders,gas,23364.0,clean,automatic,rwd,full-size,SUV,silver
2534,2534,75900,2020.0,luxury,excellent,8 cylinders,gas,8556.0,clean,automatic,4wd,full-size,SUV,black
2548,2548,19500,2019.0,normal,like new,4 cylinders,gas,17400.0,clean,automatic,4wd,mid-size,SUV,black
2556,2556,34950,2019.0,normal,excellent,8 cylinders,gas,42125.0,clean,automatic,4wd,full-size,truck,white
2563,2563,38450,2018.0,normal,excellent,8 cylinders,gas,32364.0,clean,automatic,4wd,full-size,truck,brown
2577,2577,52000,2020.0,normal,like new,8 cylinders,gas,4200.0,lien,automatic,4wd,full-size,truck,grey
2583,2583,37999,2018.0,normal,excellent,8 cylinders,gas,20316.0,clean,automatic,rwd,mid-size,coupe,black
2593,2593,25999,2019.0,normal,excellent,6 cylinders,gas,17560.0,clean,automatic,rwd,mid-size,coupe,black
2642,2642,1,2018.0,luxury,excellent,10 cylinders,gas,36225.0,clean,other,4wd,compact,sedan,silver
2644,2644,1,2018.0,normal,excellent,10 cylinders,gas,34945.0,clean,other,4wd,mid-size,coupe,grey
2701,2701,26500,2019.0,normal,like new,4 cylinders,gas,15425.0,clean,automatic,fwd,mid-size,SUV,silver
2727,2727,20985,2019.0,normal,like new,6 cylinders,gas,9558.0,clean,automatic,rwd,full-size,sedan,black
2728,2728,26990,2019.0,normal,like new,8 cylinders,gas,26249.0,clean,automatic,4wd,full-size,truck,red
2732,2732,13970,2018.0,normal,like new,4 cylinders,gas,30267.0,clean,automatic,fwd,compact,sedan,white
2733,2733,13980,2019.0,normal,like new,4 cylinders,gas,3471.0,clean,automatic,fwd,compact,sedan,grey
2737,2737,37985,2018.0,normal,good,8 cylinders,diesel,76854.0,clean,automatic,4wd,full-size,truck,white
2739,2739,32375,2019.0,normal,like new,6 cylinders,other,11132.0,clean,automatic,4wd,full-size,truck,blue
2742,2742,15985,2019.0,normal,excellent,4 cylinders,gas,31939.0,clean,automatic,fwd,mid-size,SUV,white
2761,2761,32000,2019.0,normal,like new,6 cylinders,gas,5000.0,clean,automatic,rwd,full-size,van,white
2791,2791,13900,2019.0,normal,like new,4 cylinders,gas,37500.0,lien,manual,fwd,compact,sedan,blue
2799,2799,37999,2018.0,normal,excellent,8 cylinders,gas,20316.0,clean,automatic,rwd,mid-size,coupe,black
2800,2800,25999,2019.0,normal,excellent,6 cylinders,gas,17560.0,clean,automatic,rwd,mid-size,coupe,black
2849,2849,15900,2018.0,normal,like new,4 cylinders,gas,33135.0,clean,automatic,fwd,compact,wagon,green
2854,2854,30999,2019.0,normal,excellent,6 cylinders,gas,42397.0,clean,automatic,rwd,full-size,truck,custom
2868,2868,21795,2019.0,normal,like new,6 cylinders,gas,18613.0,clean,automatic,rwd,full-size,pickup,grey
2916,2916,1,2018.0,normal,excellent,6 cylinders,diesel,53172.0,clean,automatic,4wd,full-size,truck,silver
2919,2919,1,2018.0,normal,excellent,10 cylinders,gas,32898.0,clean,other,4wd,mid-size,coupe,purple
